id,gpa,ses,achievement,homework
782296,8,0.938,55.33275,1
782934,5.5,0.111,43.70475,2
782944,5.5,-1.665,43.7745,2
782991,4.75,0.03,37.5685,2
783415,5.25,-0.71,59.77625,2
783417,7,-0.682,68.55325,3
783467,3.75,-1.013,47.1355,1
783543,2.6666667,-0.562,39.6145,1
784991,6,0.306,53.583,2
786243,5.75,-0.064,62.09225,1
786449,6.3333333,0.646,57.5945,1
788227,,-1.042,46.504,2
789375,8,0.358,67.88675,1
790263,6.25,1.136,65.0155,5
790265,2,-0.282,47.9715,1
790282,6.6666667,1.304,50.09325,3
791356,1.3333333,-0.618,46.74525,0
791406,3.25,0.323,49.83225,3
791426,5,0.107,46.9625,2
791648,6,0.276,60.3915,4
793389,4,-0.502,45.22775,2
794166,6.5,-0.451,52.64925,1
794184,2.6666667,-0.668,50.80925,1
794197,6.75,-0.142,53.538,1
796312,4.5,0.54,35.8485,2
797901,3.3333333,-0.265,36.2805,0
798464,7.5,-0.22,55.11525,5
798482,8,-0.505,65.398,1
798495,5,0.708,57.02725,4
798914,5.6666667,-0.26,57.98125,1
816063,5.5,0.137,47.27425,1
853631,6.5,0.812,56.968,4
867258,6,0.53,47.6625,3
874591,3.5,0.064,41.10975,0
894590,5.5,-0.637,47.43,3
1419282,5.6666667,0.533,44.538,2
1419293,6.75,0.29,60.5495,7
1425416,7.5,-0.503,51.964,
1425457,3.75,-0.219,40.96225,2
1425458,6.3333333,-0.593,57.5235,3
1437908,6.5,-0.393,46.64725,4
1437916,6,0.215,56.13525,1
1460555,5.3333333,-0.214,59.67425,4
1460559,1.6666667,-0.283,47.2465,0
1473846,6,-0.925,46.95475,3
1477000,6,0.685,55.87675,1
1477017,3.75,0.03,55.43375,1
1477805,5.75,-0.589,52.736,3
1481345,6.25,-0.407,64.5175,2
1481347,5.5,-0.204,58.0525,3
1495463,4.75,1.058,61.33525,2
1495491,7.25,1.799,65.42625,5
2400070,4.6666667,-0.518,55.2145,1
2405214,,-1.208,41.668,
2405265,6.25,-1.053,39.14875,1
2405321,5.6666667,0.231,42.88175,1
2405325,3.6666667,-0.759,42.1195,1
2406206,3.5,-0.86,35.8995,
2411003,4.25,0.415,42.69075,2
2411097,6,0.685,61.02325,3
2413809,7.5,0.608,65.47825,7
2413899,6.25,-0.947,50.764,
2416336,7,-1.329,50.24625,4
2417404,,-0.142,53.23125,
2417432,5.75,-0.372,44.11675,1
2417450,2.6666667,-0.543,34.34075,2
2421670,5,0.238,52.37925,2
2424048,6,-0.139,52.39725,2
2426967,4,-0.066,60.26975,1
2426971,3.5,-1.482,51.4355,1
2431582,5,-0.57,55.6145,1
2432760,3.25,-0.862,47.472,1
2437176,7.5,1.326,60.9795,4
2437606,6.5,-0.749,35.05725,0
2437696,5.75,-0.228,48.7605,2
2442068,6.5,-0.385,42.1705,3
2445900,4,-0.477,46.24475,2
2445916,4.5,-1.178,45.9365,1
2445925,5.5,-1.251,40.33625,1
2447444,5,-0.632,51.524,1
2454382,6.5,-0.956,43.04575,0
2457128,3,1.251,60.124,2
2457129,4.75,-0.291,40.05825,1
2458938,4,0.233,46.4105,2
2458951,4.6666667,-1.067,48.5895,1
2460055,5.5,-0.415,,1
2468005,3.75,-0.956,60.763,0
2468038,5.5,-0.733,47.07075,1
2468075,,-1.282,45.16325,
2477259,4.25,-0.627,51.54825,2
2480154,4.75,-0.185,,1
2480185,5.75,-0.722,,1
2480587,6,1.68,50.86125,4
2482037,6.5,-0.234,48.26,5
2482063,5.5,-1.207,41.5595,1
2482070,6.75,-1.206,52.4875,1
2485857,4,0.905,54.0255,4
2497052,7.25,-0.236,62.9595,3
2499180,7,-1.131,54.8505,3
2500842,6.75,0.235,56.9255,2
2501626,6.25,-0.142,57.1585,2
2501809,,-1.764,32.70125,1
2506403,6.5,1.304,51.1335,2
2506407,6.75,0.812,65.4495,2
2507135,6,-0.183,48.88125,3
2507605,,-1.343,38.38375,
2507663,5.75,-1.575,35.61925,3
2508812,7.25,0.788,65.38275,3
2508818,8,-0.008,47.88225,5
2510192,6.5,0.438,61.82525,3
2510543,6.75,-0.678,55.18525,1
2510572,4.5,-0.661,50.2265,1
2510755,7.25,0.03,52.31525,5
2514241,5.75,-1.541,35.893,1
2517305,5.75,-0.106,52.8925,2
2517373,6,-0.287,39.575,2
2517379,7,-0.506,,2
2517390,4.3333333,-0.388,53.6065,0
2517808,7,0.438,40.4025,1
2517810,7,-0.678,58.58175,3
2517835,7,-0.499,64.24175,4
2517883,7,0.211,64.39475,2
2520881,5.25,-0.5,52.3575,2
2522447,3.25,-0.461,37.772,2
2522488,3,-1.22,32.814,0
2522719,3.5,-0.362,54.482,1
2524209,6.3333333,0.513,51.1245,2
2525613,7,0.122,46.25225,
2525633,5.75,-1.569,41.00875,0
2526745,5.5,1.099,41.81075,2
2526789,8,1.043,61.73375,6
2527009,4,0.438,44.8675,1
2527053,5.75,0.161,52.7255,1
2528009,8,0.408,56.04175,0
2528043,7,-1.569,61.55025,2
2528063,6,-0.683,46.83175,7
2531346,7.25,-0.451,55.499,6
2531348,5.3333333,-0.197,49.22,1
2531381,5.5,-0.684,43.0815,2
2531397,5.25,-0.707,41.53025,2
2532144,5.75,-0.067,47.4185,2
2532148,,-0.392,46.67675,3
2532854,5,-0.156,51.56275,1
2535481,5,-0.941,39.415,2
2536425,7,-0.315,49.31325,2
2536606,6,0.881,61.11925,5
2536628,8,0.98,52.63025,5
2537422,5.75,-0.618,40.1595,2
2539475,5.75,-1.034,45.60925,3
2540052,4.5,-0.547,53.6525,3
2540213,6,-1.22,44.93075,3
2540242,7.25,-1.106,39.2605,2
2544147,6.3333333,-0.298,47.517,2
2544153,5.5,0.621,44.5015,5
2544177,4.3333333,-1.578,36.84825,1
2545063,,-1.171,37.86525,1
2545441,6,-0.535,40.55975,2
2545446,,-1.417,50.6125,
2545651,6.25,-0.142,52.83275,2
2545665,6.3333333,-0.707,56.79375,5
2545678,,-0.534,47.66725,
2545684,6.75,0.225,64.1625,2
2546079,4,0.247,47.9635,1
2546494,6,-1.043,43.31775,3
2550668,5,-0.119,45.32075,2
2552014,4.25,1.152,54.67625,1
2552041,5,0.438,36.81575,3
2553016,5,0.651,52.88075,0
2553126,3.5,-1.513,37.6925,3
2553623,2.5,-1.475,30.39675,2
2553639,5.75,-1.533,48.93675,2
2553679,5.75,-0.271,53.497,3
2554542,8,0.562,60.575,3
2554573,6,-0.485,49.732,1
2554575,5,0.011,54.2145,1
2554591,5,-0.315,50.0435,2
2557245,7.6666667,-1.206,39.09775,
2557268,5,0.471,62.84025,1
2557278,6.5,0,55.4075,2
2558056,,-0.781,34.28375,1
2558064,,-1.311,51.871,
2561569,7.75,-0.003,57.42175,5
2564233,6.5,-0.86,45.9355,2
2564237,5.75,-2.414,48.786,3
2564295,5.75,-0.295,46.51625,2
2564513,6,-0.442,39.433,3
2564578,7,-1.381,46.57175,1
2566676,8,1.033,64.597,5
2569484,7.25,-1.542,48.6605,2
2570238,6,-0.119,45.942,2
2570274,5,-1.389,38.459,1
2571620,4,0.095,48.5775,1
2571674,7.75,0.72,47.2585,3
2572480,8,-0.734,67.00775,3
2574023,7,0.419,49.047,1
2574569,5.75,-0.144,59.87225,3
2574580,8,0.974,56.53375,6
2574581,5.25,0.129,53.399,3
2576590,4.25,-0.124,43.14775,1
2577504,5.6666667,-0.714,48.354,1
2577565,8,0.11,58.0115,3
2577954,7.75,0.956,51.83675,3
2579379,7.5,0.299,65.72375,1
2581011,,0.233,37.744,
2581413,1.6666667,-0.835,49.48975,1
2582509,6.5,-0.903,52.859,5
2582511,7.25,1.002,58.55525,4
2582590,7.5,0.25,58.61375,2
2583464,6,-0.171,59.05625,1
2583490,,-1.118,41.3275,
2583534,6.75,1.304,49.233,4
2583692,8,-1.464,,7
2583694,6.5,-0.952,,2
2587354,7.3333333,-1.663,32.047,0
2587356,6,-0.168,56.00875,5
2587725,6.25,0.811,63.0155,1
2589452,6.75,-1.417,42.91225,2
2597552,4,-0.826,45.27425,2
2598398,7.75,-0.004,63.11775,3
2599004,4,0.483,47.42425,3
2599005,4.75,0.104,45.3805,1
2599514,5,0.121,44.58975,0
2599516,6.25,-0.341,51.41225,1
2599556,6.75,-0.518,53.05725,1
2618883,7,1.281,64.90725,5
2633852,6.3333333,0.983,66.17625,2
2637347,5.25,1.067,59.1005,7
2637361,,1.495,60.615,5
2637379,6.75,0.65,68.8125,7
2646151,6.75,-0.067,69.35375,3
2677761,6,0.91,60.33625,2
2679200,4.75,1.019,,5
2906174,4.25,1.313,48.565,1
2906179,8,1.628,66.15225,5
2921925,4,0.119,46.04975,
2935790,4.25,0.095,55.23075,6
2936969,3.75,-0.214,56.69725,1
2936993,4.75,-0.379,47.11375,2
2936994,5.25,0.568,47.64125,1
2939416,8,0.678,65.2245,4
2939446,8,0.927,62.47175,2
2939461,7,1.456,61.55625,1
2954570,7.75,0.647,63.2335,4
2954571,6.75,1.27,52.004,2
2993133,6.5,0.662,49.9405,3
2998056,4.25,-0.43,49.3035,2
2999932,4.75,-0.22,49.429,
2999933,6.6666667,1.306,44.7705,5
3436969,6.75,0.769,40.88425,3
3436978,6,-0.104,45.48275,3
3436990,7.25,1.306,52.90275,4
3447931,6.5,0.958,44.36675,2
4503358,6,0.128,48.0155,1
4503604,7.25,0.996,50.3935,1
4504101,4.5,-1.202,43.5125,2
4505740,4.5,0.484,54.76725,3
4505755,5,0.784,48.16375,2
4506455,,-0.039,30.17275,
4506470,3.5,-0.641,51.8625,6
4506491,5.6666667,0.215,53.58125,3
4507815,8,0.06,61.6365,1
4507879,7.6666667,0.832,61.4135,3
4511041,7.75,0.091,60.79575,2
4511047,7,-0.414,50.98075,2
4511068,4.5,0.058,56.539,3
4511075,2,-0.728,39.095,0
4512723,6.5,0.772,,1
4512756,6.5,-1.381,60.15025,2
4513286,6.5,-1.131,43.55225,7
4516935,6,-1.321,41.45825,2
4516944,6.5,0.324,49.43025,2
4519017,5,0.401,55.47425,3
4519028,4.75,-0.509,49.50825,3
4519038,7.25,0.388,55.64275,4
4519068,7.5,1.176,57.605,2
4519090,5.75,-0.879,57.51425,7
4519703,4,-0.668,44.00325,1
4519753,5,-0.36,57.14875,4
4519764,4.75,-0.41,44.8355,3
4521692,,0.073,41.1925,3
4522211,6.5,-1.417,39.93025,4
4522346,5.5,0.128,43.589,1
4522393,8,0.528,58.3943333,2
4526859,8,0.633,66.92975,3
4527023,7.75,1.174,62.068,2
4528704,4,-0.563,42.75525,1
4530154,5.5,0.955,62.006,5
4530163,7.5,0.321,52.7125,2
4530187,5,-0.494,39.87225,1
4531893,8,0.343,60.149,6
4532087,5.25,0.123,52.12425,3
4533815,4,-0.665,53.125,4
4533829,6.25,-1.904,43.85125,4
4533890,7.5,0.709,51.03175,2
4533891,8,-0.624,61.0755,1
4535054,3,0.108,51.7435,1
4536175,6,0.789,,3
4536621,5.5,0.502,62.7825,4
4536655,5.75,-0.208,37.912,1
4542319,3,-0.032,,7
4542365,4,-1.006,40.02025,
4542378,6.3333333,-0.937,52.73525,4
4543419,8,1.605,60.552,5
4543420,6.5,1.085,57.2945,4
4544461,7,-1.279,,2
4544632,6.25,-0.499,53.68325,1
4545215,5.6666667,0.798,37.987,1
4545257,6.75,-0.485,59.945,2
4545425,6,0.678,63.63725,2
4545512,4.5,0.322,49.28475,5
4547633,7.25,-0.603,33.581,5
4550610,4,-1.575,40.92975,2
4550625,4,-1.032,42.1865,2
4550903,4.3333333,0.281,52.05425,2
4550966,,0.608,38.029,
4551333,3.75,-0.203,52.5785,1
4551356,5,-0.366,61.3335,4
4552432,3.6666667,-1.052,36.0013333,1
4553177,5.5,-0.502,51.11625,2
4554000,7,0.622,69.96225,4
4554021,7,-0.727,42.5795,2
4554068,3.25,-0.271,45.045,0
4554074,5.75,-0.304,51.534,3
4554083,3,0.233,43.38675,1
4555509,4.6666667,0.192,48.07475,1
4555548,5.5,0.687,59.48,4
4555912,8,0.204,64.32175,4
4555956,4.25,-0.483,33.8436667,3
4555981,7.5,1.724,53.4,2
4556760,6,0.483,63.22525,2
4556766,5.25,-0.45,56.635,2
4556778,5.5,-0.267,59.44175,3
4557627,7.5,0.341,68.54125,2
4557829,4.25,0.108,42.49,3
4557839,7.25,0.902,61.13525,2
4563716,5.3333333,-0.831,51.779,3
4563778,2.5,-0.687,48.023,1
4565431,3,-1.311,41.65475,1
4568611,,-0.678,43.9665,0
4568679,6.5,0.238,51.47525,3
4568692,7,-0.215,64.77725,3
4570064,3.75,-1.663,33.0775,0
4570092,2.75,-1.329,42.151,1
4571937,3,-1.475,46.42875,2
4574713,,-0.428,38.63275,0
4576801,6,-0.187,60.91425,3
4576814,6,-0.335,37.2705,2
4578801,4.75,0.101,61.514,1
4578833,7.75,0.154,57.33075,3
4578851,5,0.632,54.61075,3
4582031,3.5,0.35,48.03975,1
4582065,4,-1.22,45.2595,1
4583037,4.75,-0.145,46.26225,4
4583076,8,0.122,63.0315,4
4583078,5.75,-0.938,39.63025,3
4584518,5,-0.457,48.5095,4
4585127,6.75,1.422,61.2175,5
4585177,4.5,0.429,53.813,3
4585936,8,1.628,62.17175,3
4585954,6.5,0.389,57.408,3
4585995,7.5,-0.744,53.438,6
4586743,6.5,-0.142,54.83225,2
4587024,6.5,0.03,50.2915,2
4590050,6.6666667,-0.161,54.98075,1
4590335,7.25,-0.291,54.45475,3
4591040,5.5,0.325,,0
4591810,7.25,-1.311,45.9505,2
4591882,7.25,-1.056,49.084,4
4592420,8,-0.444,56.499,2
4595860,5.25,-0.051,50.87025,2
4596728,4.5,0.905,52.00025,2
4598159,8,0.697,66.25125,7
4598512,5.5,0.033,48.37225,2
4598540,3.5,0.18,44.94875,2
4599469,,-0.707,49.33675,
4599489,6.5,-0.078,62.409,5
4611924,7,1.055,55.027,6
4634497,7,0.224,66.401,3
4650315,5,0.189,57.04,0
4650377,6.75,1.002,53.461,3
4654012,8,0.853,58.92675,1
4654016,7.3333333,1.108,67.44375,2
4654072,2.25,0.572,50.73525,1
4671586,4.5,0.7,68.102,3
4671599,4,0.841,52.5935,5
4686952,5,-0.049,44.70925,3
4686960,5.6666667,-0.782,49.1775,1
4692242,7.25,0.927,66.2325,3
4713027,7,1.326,59.8835,6
4727018,5.25,0.03,51.47925,0
4736814,7,0.808,61.73025,3
4736822,8,0.924,65.70375,2
4744567,5.5,-0.211,53.7065,2
5214161,2.75,-0.355,46.30925,1
5400231,4.25,1.011,60.425,2
5400274,6.25,1.476,68.831,1
5403800,6,1.391,63.942,5
5403852,6,1.041,57.119,4
5403883,6.5,1.419,62.40525,7
5407741,7.5,1.547,62.55075,3
5407774,7.25,1.154,62.13625,4
5415730,4.25,1.797,57.4505,1
5415733,6.75,0.806,61.57375,4
5415784,4.75,0.819,63.1555,3
5425900,7,1.014,58.54925,2
5425917,6,1.246,59.413,2
5425949,7.3333333,1.531,67.925,1
5425953,6.3333333,0.808,55.968,5
5425963,6.3333333,0.719,60.35225,2
5425985,8,0.647,69.0875,7
5425988,4.75,0.83,59.9895,2
5430507,7,1.647,66.223,7
5433004,7.25,1.035,61.4945,3
5433099,5.25,1.243,50.31775,4
5434483,3,-0.561,39.595,3
5435427,5.75,1.176,49.3215,1
5435484,7.25,1.131,64.1775,2
5439494,8,0.562,64.1515,1
5453832,2.6666667,1.874,49.7,7
5456797,3.75,1.27,53.5725,4
5473048,6.5,1.422,57.39925,6
5473070,7.5,1.227,54.90525,4
5473075,8,0.905,54.721,3
5473083,8,0.6,66.65875,2
5475219,4,0.762,55.15275,2
5475283,7,1.05,61.9765,2
5482839,5.25,1.11,52.2705,6
5483476,5.5,1.378,45.62425,5
5488819,5,1.326,62.055,3
5493226,7,0.634,65.10325,3
5705546,7.3333333,1.099,55.57075,3
5705594,8,1.022,62.44825,5
5713683,5.25,-0.793,54.14075,3
5776759,6.5,0.483,55.195,1
6222089,6.75,0.738,45.8645,3
6234367,6.5,1.531,58.56175,1
6234376,5.5,0.47,66.538,5
6237722,4.75,0.85,39.48275,0
6248800,6.25,1.557,67.56,7
6248890,6.25,0.569,61.72025,7
6256651,7,1.164,70.2405,5
6259629,7.5,0.922,66.3245,7
6259679,7.5,0.927,66.75175,5
6282140,7.5,1.401,63.83675,3
6803837,6,1.035,56.79225,4
6803877,5.75,0.885,50.706,2
6806073,4.3333333,-1.953,38.967,1
6806824,3.25,0.328,45.13325,2
6807193,7,-1.172,,2
6808651,7.25,0.225,46.63075,3
6808659,5,-0.016,52.482,1
6808662,3.5,-0.743,48.8455,0
6811439,7,-0.177,47.5803333,4
6813083,4,0.401,51.79875,1
6813561,4.6666667,0.151,48.88675,1
6813761,8,-0.095,64.13675,2
6815058,4.6666667,0.033,44.13325,0
6815809,4.25,-0.082,56.6205,3
6815880,,-1.488,40.975,
6816049,4,-1.133,42.2425,0
6816204,7.5,1.379,61.9,5
6816288,7,-0.219,56.133,3
6818502,4.3333333,-0.802,46.75675,4
6820113,,-1.718,41.8755,2
6820116,6.5,-0.36,55.32975,1
6820154,7,-1.29,38.1105,
6820184,7,-0.956,42.12525,1
6825477,3.5,0.663,43.88925,1
6826541,5.25,0.319,49.4785,3
6828191,8,0.685,66.05125,7
6829265,4.75,-0.76,64.37625,0
6831600,6.25,0.03,59.50875,2
6832823,4,-0.518,43.8835,0
6832895,5.5,0.281,37.82975,1
6834018,6.25,-0.915,37.80825,4
6835237,3.75,-0.559,48.4325,1
6835292,4.5,-1.252,45.892,1
6837414,6.25,0.019,49.6185,3
6837439,5.75,-0.665,48.447,1
6839723,1.75,-0.549,45.20275,2
6840162,4,-0.485,54.65775,1
6840164,5.75,0.209,52.65575,2
6840172,4,0.533,41.71475,2
6840189,4.5,-0.691,35.8693333,5
6842202,6,-0.142,43.9085,2
6842244,,-0.784,43.902,0
6842719,5,0.224,48.3305,2
6842723,,0.484,45.27675,
6844164,5,-0.656,45.81375,2
6844572,2.25,-0.521,,1
6844849,4.25,-0.553,38.13425,1
6844905,5.6666667,-0.121,55.8965,2
6844914,3.6666667,-0.089,39.31325,2
6844971,6.5,-0.993,53.341,4
6845037,8,1.174,64.50375,3
6845695,7.25,0.698,54.44925,4
6848143,,-0.72,45.8915,
6848160,7,-0.704,39.767,2
6849317,5.25,-0.492,43.5095,3
6849336,3,-1.417,41.0205,2
6849432,4.5,-0.094,49.1805,1
6851960,6.75,0.333,,7
6851980,4.75,0.927,,1
6852017,3.75,-0.332,57.0785,3
6852397,6.25,-1.329,43.8005,3
6854260,4,-1.404,42.03675,0
6854277,7.25,0.558,62.77625,2
6854295,5.6666667,-0.856,41.1125,2
6855141,5.25,-0.432,30.97,3
6855193,5.6666667,0.04,39.78825,2
6856315,4.75,0.249,57.8755,1
6857475,4.25,-0.114,55.5805,4
6860280,3.3333333,-1.26,43.6155,2
6861410,1.75,0.108,36.57475,1
6861480,4.75,-0.018,54.7845,2
6861789,6.5,0.313,57.39025,3
6863509,2.6666667,-0.756,,1
6863553,6.75,-0.733,,1
6863563,6,-0.34,,1
6864198,3.5,0.39,54.58275,0
6864407,8,-0.282,40.92125,1
6864474,7.5,0.009,65.29575,3
6864480,6,0.335,57.49625,2
6864815,2,-0.465,49.7215,0
6864866,,-0.586,41.854,0
6865131,5.5,-0.52,36.6275,1
6865134,7.25,0.313,57.84475,4
6865644,4.5,-0.071,53.005,0
6865646,7.25,-0.802,46.44925,2
6865658,7,-0.549,42.21,3
6867104,5.5,0.634,44.70225,1
6867199,3.5,0.615,49.6545,2
6867306,5.25,-0.336,56.39875,5
6871813,,-0.76,48.77625,1
6871849,7,-0.431,59,3
6871858,6.5,-0.632,29.345,
6871885,4,0.812,41.114,2
6872032,3.5,-1.106,37.03275,1
6872065,2.75,-1.258,35.83925,0
6875008,4.6666667,-0.56,52.25125,0
6875068,6.25,0.141,58.0165,1
6875085,4.75,-0.212,51.56975,0
6878855,6.5,-1.282,42.16275,0
6878882,4.6666667,-0.41,40.80125,4
6878891,6.5,0.171,51.531,0
6880932,5,-0.39,52.535,2
6880967,5.6666667,0.808,64.377,7
6880969,7.25,-0.181,57.8385,1
6881704,6,-0.514,35.46975,1
6881708,7,0.972,55.9205,4
6884029,2,-0.291,45.68325,0
6884032,3.6666667,-0.45,38.92575,5
6884321,4.25,0.128,43.61725,3
6884337,5.75,-0.132,50.4765,4
6884366,5,-0.419,51.772,4
6885566,6.6666667,0.2,48.3355,
6888289,4,-0.315,44.51675,3
6889150,1,-0.51,35.0086667,0
6889283,5.3333333,-0.869,52.08775,2
6895163,6,-1.828,39.00925,
6896988,4.75,0.685,51.88575,3
6897106,5.5,0.248,49.97425,3
6898557,6.6666667,-0.792,40.39425,1
6898586,5.5,-0.756,40.24275,4
6898771,3,-1.575,46.08175,3
7007029,3.5,0.108,38.3533333,4
7040925,5.75,-0.812,40.81275,2
7049899,5,0.304,39.21675,2
7081732,4.5,-0.171,61.49325,1
7081796,8,0.206,62.53775,2
7084010,6.5,0.775,55.0755,5
7084045,5.75,0.358,57.01,7
7084052,5.75,0.958,65.1935,5
7084071,7,0.401,55.1125,7
7200412,6.25,0.905,57.94275,1
7200482,8,0.883,63.66975,6
7202203,5.5,0.229,,4
7202219,6.25,-0.186,,2
7202234,3,-0.178,,3
7202638,7.75,-0.586,68.161,3
7202648,5.5,0.005,62.7165,1
7204938,5.75,-0.48,56.41975,2
7205721,6,-0.444,50.0695,1
7205788,5.75,-0.168,40.141,2
7206079,6,-1.127,39.613,2
7206098,5.75,-0.428,55.163,4
7206524,8,1.127,56.03375,6
7207589,5.5,-0.267,40.74275,1
7208038,3,-0.957,36.66,1
7208088,2.5,0.85,40.143,1
7208091,7.6666667,0.612,55.95375,4
7208407,6,0.568,59.7135,2
7209205,,-1.157,35.62225,
7209249,6,0.093,52.503,2
7209257,7.3333333,-0.64,38.31875,1
7211594,6.3333333,-0.925,44.93625,5
7211612,7,1.302,54.3165,6
7211689,6,0.903,63.6755,1
7212928,3.25,-1.578,34.479,1
7212948,,-0.297,38.636,
7212999,2.75,-1.042,46.994,2
7213255,6.25,-0.084,59.01325,1
7213362,6.3333333,-0.984,51.5945,1
7213364,6.5,-0.379,48.12975,2
7214838,2.5,0.461,47.06875,3
7215376,4.25,-1.333,44.81625,1
7216412,6.5,0.656,55.31425,2
7217020,7.25,0.18,49.311,2
7217093,7.5,-0.007,61.1605,2
7217566,6.25,0.63,56.86775,5
7220475,5.75,0.281,42.581,0
7220619,4,0.55,52.7495,2
7220692,6.25,-0.386,60.93475,2
7220693,4,-0.383,48.29475,1
7221248,3,-0.763,50.99125,0
7221320,6,1.171,55.48025,3
7221353,7.5,1.378,66.926,3
7221842,5.5,-0.501,53.9055,0
7223741,7.5,-0.469,65.02225,2
7224321,5.75,0.341,46.8785,5
7224324,7.5,-0.531,,3
7227541,,-0.741,44.06675,
7227591,7,0.48,53.1685,7
7229244,5.75,-0.441,38.246,1
7232666,3.5,0.379,47.08725,1
