character,comic,reality,identity,alignment,eye_color,hair_color,sex,lgbtq,lgbtq_note,alive,appearances,first_appear_date,first_appear_year
Abahla,Marvel,Earth-616,Secret Identity,,,Black,Male,No,,Living,1,"1993, April 01",1993
Aban,Marvel,Earth-616,,Bad,,Brown,Male,No,,Living,3,"2022, July 09",2009
Abara and Cadabra,Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,1,"1947, October 01",1947
Abarac,Marvel,Earth-616,No Dual Identity,Good,,White,Male,No,,Living,1,"1970, November 01",1970
Abbas al-Abbad,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"2022, May 07",2007
Abbess Horror,Marvel,Earth-616,Secret Identity,Bad,,,Female,No,,Deceased,2,"2022, December 06",2006
Abbey Sykes,Marvel,Earth-616,No Dual Identity,Neutral,Brown,Black,Female,No,,Living,5,"2022, November 10",2010
Abby Levine,Marvel,Earth-616,No Dual Identity,,Black,Blond,Female,No,,Living,4,"1996, December 01",1996
Abd-el-Hazred,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,8,"1978, August 01",1978
Abdi,Marvel,Earth-616,No Dual Identity,Bad,,Black,Male,No,,Deceased,3,,
Abdol,Marvel,Earth-616,No Dual Identity,,,,Male,No,,Deceased,1,"1998, April 01",1998
Abdul,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,1,"1982, July 01",1982
Abdul Faoul,Marvel,Earth-616,Secret Identity,,,Black,Male,No,,Deceased,6,"1977, December 01",1977
Abdul Qamar,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Deceased,16,"1980, August 01",1980
Abdul Smith,DC,New Earth,Public Identity,Good,,Black,Male,No,,Living,5,"1975, May",1975
Abe Crane,DC,New Earth,Secret Identity,Good,Brown,Black,Male,No,,Living,1,"1988, December",1988
Abednego Danner,DC,New Earth,Public Identity,Neutral,Blue,Black,Male,No,,Deceased,1,"1988, March",1988
Abel,Marvel,Earth-616,No Dual Identity,,,Bald,Male,No,,Living,2,"2022, June 02",2002
Abel,DC,New Earth,Secret Identity,Neutral,Blue,Black,Male,No,,Living,41,"1969, July",1969
Abel Stack,Marvel,Earth-616,No Dual Identity,Good,Blue,Brown,Male,No,,Living,4,"1977, July 01",1977
Abel Tarrant,DC,New Earth,Secret Identity,Bad,Blue,Brown,Male,No,,Deceased,30,"1963, September",1963
Aberdeen Angus,Marvel,Earth-616,Secret Identity,Neutral,,,Male,No,,Living,3,"1993, February 01",1993
Aberham,Marvel,Earth-616,Secret Identity,Good,Blue,Blond,Male,No,,Living,,,
Abigail,Marvel,Earth-616,,,Brown,Blond,Female,No,,Living,4,"2022, August 06",2006
Abigail Arcane,DC,New Earth,Public Identity,Good,Blue,White,Female,No,,Living,182,"1973, January",1973
Abigail Baxter,Marvel,Earth-616,,,,Black,Female,No,,Living,1,"2000, December 01",2000
Abigail Boylen,Marvel,Earth-616,Identity Known to Authorities,Good,Blue,Blond,Female,No,,Living,40,"2022, May 07",2007
Abigail Brand,Marvel,Earth-616,Secret Identity,Good,Green,Green,Female,No,,Living,97,"2022, September 04",2004
Abigail Burns,Marvel,Earth-616,No Dual Identity,Neutral,Green,Red,Female,No,,Living,9,,
Abigail Dunton,Marvel,Earth-616,Secret Identity,Good,,Black,Female,No,,Living,7,"2022, June 07",2007
Abigail Harkness,Marvel,Earth-616,,Neutral,Brown,Brown,Female,No,,Living,1,"2000, January 01",2000
Abigail Hunkel,DC,New Earth,Secret Identity,Good,Black,Brown,Female,No,,Living,79,"1939, June",1939
Abigail Moorland,DC,New Earth,,Bad,,Black,Female,No,,Living,2,"1996, June",1996
Abigail Varden,Marvel,Earth-616,,,,,Female,No,,Living,1,"1946, February 01",1946
Abigail Wright,Marvel,Earth-616,Secret Identity,Neutral,Brown,Pink,Female,No,,Living,24,"1987, December 01",1987
Abin Sur,DC,New Earth,Public Identity,Good,Blue,,Male,No,,Deceased,92,"1959, October",1959
Abira,Marvel,Earth-616,Public Identity,Good,Red,Red,Female,No,,Living,11,"2022, October 10",2010
Able Crown,DC,New Earth,Public Identity,Bad,,Black,Male,No,,Deceased,6,"2000, May",2000
Able Doone,Marvel,Earth-616,No Dual Identity,Bad,,Blond,Male,No,,Living,1,"1943, June 01",1943
Abnegazar,DC,New Earth,Secret Identity,Bad,Black,,Male,No,,Living,22,"1962, March",1962
Abner (Mutant),Marvel,Earth-616,,,Black,Brown,Male,No,,Living,1,"1989, November 01",1989
Abner Abernathy,Marvel,Earth-616,No Dual Identity,,,,Male,No,,Living,1,"1982, March 01",1982
Abner Doolittle,Marvel,Earth-616,Secret Identity,Neutral,,Brown,Male,No,,Living,6,"1976, September 01",1976
Abner Dunson,Marvel,Earth-616,No Dual Identity,,,,Male,No,,Living,1,"1993, May 01",1993
Abner Girdler,DC,New Earth,Public Identity,Bad,,Brown,Male,No,,Living,1,"1995, October",1995
Abner Jenkins,Marvel,Earth-616,Public Identity,Good,Brown,Brown,Male,No,,Living,284,"1964, August 01",1964
Abner Jonas,Marvel,Earth-616,,Bad,Blue,Brown,Male,No,,Living,6,"1965, October 01",1965
Abner Krill,DC,New Earth,Secret Identity,Bad,Blue,Black,Male,No,,Deceased,8,"1962, February",1962
Abner Little,Marvel,Earth-616,Public Identity,,Blue,Black,Male,No,,Deceased,19,"1977, January 01",1977
Abomination (Morlock),Marvel,Earth-616,Secret Identity,Neutral,Blue,No Hair,Male,No,,Living,1,"2022, March 11",2011
Abraham Arlington,DC,New Earth,,Good,,,Male,No,,Living,5,"2009, May",2009
Abraham Beame,Marvel,Earth-616,No Dual Identity,Neutral,Brown,White,Male,No,,Living,2,"1976, August 01",1976
Abraham Brown,Marvel,Earth-616,Secret Identity,,Brown,Black,Male,No,,Living,48,"1974, April 01",1974
Abraham Cornelius,Marvel,Earth-616,,,,,Male,No,,Deceased,26,"1991, March 01",1991
Abraham Erskine,Marvel,Earth-616,Secret Identity,,Brown,Black,Male,No,,Deceased,48,"1941, March 01",1941
Abraham James,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,,"1979, June 01",1979
Abraham Kieros,Marvel,Earth-616,Secret Identity,Neutral,Blue,Brown,Male,No,,Living,19,"1986, December 01",1986
Abraham Klein,Marvel,Earth-616,No Dual Identity,,Brown,White,Male,No,,Deceased,15,"1976, January 01",1976
Abraham Lincoln,Marvel,Earth-616,Public Identity,Neutral,,Brown,Male,No,,Deceased,8,"1966, January 01",1966
Abraham Lincoln,DC,New Earth,Public Identity,Good,,Black,Male,No,,Living,23,"1950, September",1950
Abraham Lincoln (Robot),Marvel,Earth-616,Secret Identity,Neutral,Grey,Brown,Male,No,,Living,2,"1982, May 01",1982
Abraham Pointe,DC,New Earth,Public Identity,Neutral,,Blond,Male,No,,Living,3,"2010, September",2010
Abraham van Helsing,Marvel,Earth-616,No Dual Identity,Good,Brown,Grey,Male,No,,Deceased,7,"1972, April 01",1972
Abraham Verne,Marvel,Earth-616,Secret Identity,Good,,No Hair,Male,No,,Living,5,"2022, January 04",2004
Abraham Wilson (Heroes Reborn),Marvel,Earth-616,No Dual Identity,Good,,Grey,Male,No,,Deceased,3,"1996, November 01",1996
Abraham Zimmer,Marvel,Earth-616,,Good,Blue,White,Male,No,,Deceased,44,"1987, June 01",1987
Abrams,Marvel,Earth-616,No Dual Identity,,,Blond,Male,No,,Living,1,"1988, May 01",1988
Abraxis,DC,New Earth,,Bad,Purple,,Male,No,,Living,4,"1992, April",1992
Absalom,Marvel,Earth-616,Secret Identity,,Blue,Blond,Male,No,,Deceased,6,"1992, May 01",1992
Absolon Mercator,Marvel,Earth-616,Secret Identity,Good,Blue,No Hair,Male,No,,Deceased,16,"2022, August 04",2004
Absynthe,Marvel,Earth-616,Secret Identity,Bad,Green,Black,Female,No,,Living,6,"2022, March 07",2007
Absynthia van Mort,Marvel,Earth-616,,,,Black,Female,No,,Living,1,"1997, November 01",1997
Abu Ben Hakim,Marvel,Earth-616,,Good,,,Male,No,,Living,2,"1965, September 01",1965
Abu Dakir,Marvel,Earth-616,No Dual Identity,Bad,,White,Male,No,,Living,3,"1967, April 01",1967
Abu Ho Dadi,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,1,"1977, August 01",1977
Abu M_s_ J_bir ibn Hayy_n al-Azdi,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Living,1,"2022, October 10",2010
Abu-Gita,DC,New Earth,Public Identity,Good,,Black,Female,No,,Living,3,1999,1999
Abu-Jamal Rodriguez,Marvel,Earth-616,No Dual Identity,Bad,Brown,Black,Male,No,,Living,3,"2022, June 05",2005
Abwama,Marvel,Earth-616,No Dual Identity,Bad,,Black,Male,No,,Deceased,1,"1940, June 01",1940
Abyss,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,3,"2022, January 08",2008
Abyss,DC,New Earth,Unknown Identity,Bad,,,Male,No,,Living,1,"1982, February",1982
Abyssma,DC,New Earth,,Bad,White,,Male,No,,Living,3,"2008, January",2008
Abysss,Marvel,Earth-616,Secret Identity,Bad,White,No Hair,Male,No,,Living,3,"1994, January 01",1994
AC-DC,Marvel,Earth-616,Secret Identity,Neutral,Red,Bald,Male,No,,Living,15,"1985, July 01",1985
Acantha,DC,New Earth,,Good,,,Female,No,,Living,2,"1987, November",1987
Acarinus,DC,New Earth,,Bad,Yellow,,,No,,Deceased,6,"2009, July",2009
Acba,Marvel,Earth-616,Secret Identity,Neutral,White,No Hair,Male,No,,Living,1,"1991, August 01",1991
Accolon,Marvel,Earth-616,No Dual Identity,Neutral,,No Hair,,No,,Living,1,"1981, September 01",1981
Ace (G.R.A.M.P.A),Marvel,Earth-616,Secret Identity,Good,Blue,,Male,No,,Living,4,"2022, January 06",2006
Ace (Pilot),Marvel,Earth-616,,,,,Male,No,,Living,,,
Ace (SHIELD Agent),Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Living,1,"1973, September 01",1973
Ace Arn,DC,New Earth,Secret Identity,Good,Black,White,Male,No,,Living,22,"1965, November",1965
Ace Atchinson,DC,New Earth,Public Identity,,Green,Blond,Male,No,,Living,11,"1998, September",1998
Ace Chance,DC,New Earth,,Bad,,Brown,Male,No,,Deceased,2,"1966, October",1966
Ace Fenton,Marvel,Earth-616,Public Identity,Bad,,,Male,No,,Living,1,"1964, June 01",1964
Ace High,DC,New Earth,,Good,,,Male,No,,Living,1,"1989, April",1989
Ace Maxwell,Marvel,Earth-616,No Dual Identity,Bad,,Black,Male,No,,Living,1,"1946, March 01",1946
Ace of Clubs (Arcana),DC,New Earth,Secret Identity,Bad,,Black,Male,No,,Deceased,1,"1996, August",1996
Ace of Clubs III,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,2,"2009, October",2009
Ace of Diamonds (Arcana),DC,New Earth,Secret Identity,Bad,,Brown,Male,No,,Deceased,1,"1996, August",1996
Ace of Diamonds II,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,2,"2009, October",2009
Ace of Hearts (Arcana),DC,New Earth,Secret Identity,Bad,,Grey,Female,No,,Deceased,1,"1996, August",1996
Ace of Hearts II,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,2,"2009, October",2009
Ace of Spades (Arcana),DC,New Earth,Secret Identity,Bad,,Blond,Male,No,,Deceased,1,"1995, July",1995
Ace of Spades I,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,3,"1976, February",1976
Ace of Spades V,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,2,"2005, October",2005
Ace of Spades VI,DC,New Earth,Secret Identity,Bad,,Black,Female,No,,Living,1,"2008, December",2008
Ace of Spades VII,DC,New Earth,Unknown Identity,Bad,,Brown,Male,No,,Living,1,"2010, October",2010
Ace Spencer,Marvel,Earth-616,Public Identity,Bad,Brown,Black,Male,No,,Living,2,"1985, October 01",1985
Ace the Bat-Hound,DC,New Earth,Secret Identity,Good,Black,Brown,Male,No,,Living,14,"1991, May",1991
Ace Turmbull,Marvel,Earth-616,Secret Identity,Bad,,Grey,Male,No,,Deceased,1,"1948, October 01",1948
Aces Wilde,Marvel,Earth-616,Secret Identity,,Brown,Black,Male,No,,Living,,"1970, March 01",1970
Achak,Marvel,Earth-616,No Dual Identity,Good,Red,Black,Male,No,,Living,1,"2022, November 10",2010
Achebe,Marvel,Earth-616,Secret Identity,,Brown,Black,Male,No,,Living,12,"1999, January 01",1999
Achelous,Marvel,Earth-616,Secret Identity,Bad,Brown,Brown,Male,No,,Deceased,12,"2022, June 05",2005
Acheron,DC,New Earth,,Good,Yellow,Black,Male,No,,Living,3,"2007, April",2007
Achille Destinee,DC,New Earth,,Bad,Black,White,Male,No,,Deceased,1,"1975, June",1975
Achille DiBacco,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Deceased,14,"1979, March 01",1979
Achilles,DC,New Earth,Public Identity,Good,,Brown,Male,No,,Deceased,16,"1944, June",1944
Achilles (Greek Legend),Marvel,Earth-616,No Dual Identity,,,Blond,Male,No,,Deceased,6,"1979, November 01",1979
Achilles (Helmut),Marvel,Earth-616,Secret Identity,Bad,Blue,Blond,Male,No,,Deceased,25,"1991, March 01",1991
Achilles Milo,DC,New Earth,Public Identity,Bad,Black,Black,Male,No,,Living,14,"1957, September",1957
Achilles Warkiller,DC,New Earth,Secret Identity,Good,Blue,Blond,Male,Yes,Homosexual,Living,17,"2009, May",2009
Achmed El Gibár,Marvel,Earth-616,Secret Identity,Neutral,,White,Male,No,,Deceased,6,"1976, December 01",1976
Achmed Korba,Marvel,Earth-616,Secret Identity,Bad,,Bald,Male,No,,Deceased,9,"1977, March 01",1977
Acidia,DC,New Earth,Secret Identity,Bad,Red,Blond,Female,No,,Living,1,"1998, May",1998
Acidroid,Marvel,Earth-616,Secret Identity,Bad,,No Hair,Male,No,,Deceased,1,"1999, February 01",1999
Acolyte,DC,New Earth,Secret Identity,Bad,Red,Blue,Male,No,,Living,2,"1999, June",1999
Acrobat (1940s),Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,1,"1947, October 01",1947
Acrobat (Spider-Squad),Marvel,Earth-616,,,,,Male,No,,Living,1,"1977, August 01",1977
Acroyear,Marvel,Earth-616,No Dual Identity,Good,Grey,No Hair,Male,No,,Living,99,"1979, January 01",1979
Actor (Spy),Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Deceased,2,"1963, June 01",1963
Actuary,DC,New Earth,Secret Identity,Bad,,White,Male,No,,Living,3,"1995, March",1995
Ada LaBostrie,DC,New Earth,Public Identity,Good,Brown,Black,Female,No,,Living,4,"1988, November",1988
Adahm,Marvel,Earth-616,No Dual Identity,Bad,Black,Bald,Male,No,,Living,1,"1993, October 01",1993
Adai,Marvel,Earth-616,No Dual Identity,Neutral,Brown,Black,Female,No,,Living,1,"2022, June 06",2006
Adam,Marvel,Earth-616,Secret Identity,Bad,Grey,Black,Male,No,,Living,7,"2022, August 11",2011
Adam,DC,New Earth,,Neutral,,Black,Male,No,,Living,3,,
Adam (Priest),Marvel,Earth-616,Public Identity,Bad,Brown,Grey,Male,No,,Living,4,"2022, January 06",2006
Adam Able,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,2,"1962, July 01",1962
Adam Austin,Marvel,Earth-616,Secret Identity,Good,Blue,Blond,Male,No,,Living,2,"2022, August 06",2006
Adam Berman,Marvel,Earth-616,Secret Identity,Good,Red,Black,Male,No,,Living,1,"1997, September 01",1997
Adam Blake,DC,New Earth,Public Identity,Good,Hazel,Brown,Male,No,,Living,191,"1951, June",1951
Adam Bomb,DC,New Earth,,Bad,Blue,,Male,No,,Living,1,"2009, June",2009
Adam Brashear,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Male,No,,Living,19,"2022, January 09",2009
Adam Clayton,Marvel,Earth-616,Secret Identity,,Blue,Blond,Male,No,,Living,3,"1959, February 01",1959
Adam Cray,DC,New Earth,Secret Identity,Good,Blue,Red,Male,No,,Deceased,15,"1990, August",1990
Adam Crown,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Deceased,22,"1991, August 01",1991
Adam Destine,Marvel,Earth-616,Secret Identity,,,Blond,Male,No,,Living,19,"1994, October 01",1994
Adam Essex,Marvel,Earth-41001,Secret Identity,Neutral,,,Male,No,,Deceased,1,"2022, September 05",2005
Adam Essex,Marvel,Earth-616,No Dual Identity,Neutral,,,Male,No,,Deceased,2,"1996, July 01",1996
Adam Fells,DC,New Earth,Secret Identity,Bad,,,Male,No,,Deceased,6,"1999, December",1999
Adam Fisher,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,3,"1996, November 01",1996
Adam Grant,DC,New Earth,Public Identity,Neutral,,Blond,Male,No,,Deceased,21,"1987, June",1987
Adam Harkins,Marvel,Earth-616,Secret Identity,Bad,Green,Red,Male,No,,Deceased,9,"2022, December 06",2006
Adam II,Marvel,Earth-616,Secret Identity,Bad,Blue,No Hair,Male,No,,Living,11,"1977, August 01",1977
Adam K'ad-Mon,Marvel,Earth-616,No Dual Identity,Neutral,,,Male,No,,Living,,"1974, April 01",1974
Adam Kroft,DC,New Earth,Secret Identity,Bad,Black,,Male,No,,Living,3,"1994, November",1994
Adam Mann,Marvel,Earth-616,,Bad,,,Male,No,,Living,3,"2022, April 11",2011
Adam Manna,Marvel,Earth-616,,,,Brown,Male,No,,Living,2,"1978, December 01",1978
Adam Neramani,Marvel,Earth-616,Secret Identity,Good,Blue,Blond,Male,No,,Living,21,"1993, October 01",1993
Adam Peters,Marvel,Earth-616,No Dual Identity,Bad,Brown,Black,Male,No,,Living,1,"1988, June 01",1988
Adam Plunder,Marvel,Earth-616,,Good,,Blond,Male,No,,Living,3,"1988, October 01",1988
Adam Sharp,DC,New Earth,Secret Identity,Good,Black,,Male,No,,Living,6,"2008, July",2008
Adam Simon,Marvel,Earth-616,,,Blue,Black,Male,No,,Living,1,"2022, November 08",2008
Adam Strange,DC,New Earth,Public Identity,,Blue,Blond,Male,No,,Living,177,"1958, December",1958
Adam Warlock,Marvel,Earth-616,No Dual Identity,Good,White,Gold,Male,No,,Living,252,"1967, September 01",1967
Adam Winterbourne,DC,New Earth,Public Identity,Good,Brown,Black,Male,No,,Living,13,"1998, June",1998
Adam Wright,Marvel,Earth-616,No Dual Identity,Neutral,Blue,Black,Male,No,,Living,2,"1991, January 01",1991
"Adam, Sector 1055",DC,New Earth,Public Identity,Good,Purple,Purple,Male,No,,Living,3,"1993, June",1993
Adamantine,Marvel,Earth-616,Secret Identity,Good,Blue,Blond,Male,No,,Living,1,"2022, February 07",2007
Adams,Marvel,Earth-616,,,,Blond,Male,No,,Living,1,"1965, March 01",1965
Adap-Tor,Marvel,Earth-616,,,,,,No,,Living,1,"1987, April 01",1987
Adara,DC,New Earth,Secret Identity,Bad,Blue,Green,Female,No,,Deceased,6,"1994, November",1994
Adara (Entity),DC,New Earth,Secret Identity,Good,,,,No,,Deceased,15,"2010, May",2010
Adder,DC,New Earth,Secret Identity,Bad,,,Male,No,,Deceased,1,"1998, July",1998
Addison Blackburn,Marvel,Earth-616,No Dual Identity,Bad,,Grey,Male,No,,Living,1,"1980, April 01",1980
Addison Falk,Marvel,Earth-616,Secret Identity,Bad,Green,Red,Male,No,,Deceased,3,"1998, October 01",1998
Adele Drew,DC,New Earth,Public Identity,,Brown,Brown,Female,No,,Deceased,2,"1996, June",1996
Adele Hawthorne,Marvel,Earth-616,Secret Identity,Bad,,Blond,Female,No,,Living,1,"1997, August 01",1997
Adelicia von Krupp,Marvel,Earth-616,No Dual Identity,Bad,Blue,Blond,Female,No,,Living,1,"1997, July 01",1997
Adeline Kane,DC,New Earth,Secret Identity,Neutral,Green,Brown,Female,No,,Deceased,68,"1983, August",1983
