Day,time,hours,month
321,9:29,9.48,Nov
322,9:27,9.45,Nov
323,9:25,9.42,Nov
324,9:23,9.38,Nov
325,9:21,9.35,Nov
326,9:19,9.32,Nov
327,9:17,9.28,Nov
328,9:15,9.25,Nov
329,9:13,9.22,Nov
330,9:11,9.18,Nov
331,9:09,9.15,Nov
332,9:07,9.12,Nov
333,9:06,9.10,Nov
334,9:04,9.07,Nov
335,9:03,9.05,Dec
336,9:01,9.02,Dec
337,9:00,9.00,Dec
338,8:58,8.97,Dec
339,8:57,8.95,Dec
340,8:56,8.93,Dec
341,8:55,8.92,Dec
342,8:53,8.88,Dec
343,8:52,8.87,Dec
344,8:52,8.87,Dec
345,8:51,8.85,Dec
346,8:50,8.83,Dec
347,8:49,8.82,Dec
348,8:49,8.82,Dec
349,8:48,8.80,Dec
350,8:47,8.78,Dec
351,8:47,8.78,Dec
352,8:47,8.78,Dec
353,8:47,8.78,Dec
354,8:46,8.77,Dec
355,8:46,8.77,Dec
356,8:46,8.77,Dec
357,8:46,8.77,Dec
358,8:47,8.78,Dec
359,8:47,8.78,Dec
360,8:47,8.78,Dec
361,8:48,8.80,Dec
362,8:48,8.80,Dec
363,8:49,8.82,Dec
364,8:49,8.82,Dec
365,8:50,8.83,Dec
,,,
