earn,height,female,education
20000,71,0,14
20000,72,0,8
20000,74,0,12
20000,69,0,12
20000,73,0,18
20000,67,0,14
20000,66,0,15
20000,70,0,16
20000,68,0,15
20000,67,0,12
20000,68,0,12
20000,71,0,14
20000,70,0,17
20000,61,0,11
20000,69,0,11
20000,67,0,16
20000,76,0,14
20000,72,0,17
20000,72,0,12
20000,69,0,18
20000,72,0,12
20000,69,0,14
21000,70,0,17
21000,71,0,12
21000,71,0,12
21000,70,0,12
21000,69,0,12
21000,73,0,14
21000,66,0,13
21000,68,0,12
21000,72,0,17
21000,72,0,15
21000,74,0,12
21500,72,0,12
21500,72,0,13
22000,71,0,12
22000,73,0,12
22000,72,0,12
22000,71,0,14
22000,66,0,16
22000,61,0,12
22000,70,0,6
22000,69,0,14
23000,70,0,12
23000,69,0,18
23000,66,0,12
23000,74,0,16
23000,64,0,13
23000,72,0,13
24000,68,0,12
24000,68,0,14
24000,68,0,16
24000,68,0,18
24000,70,0,16
25000,70,0,12
25000,69,0,16
25000,67,0,12
25000,68,0,14
25000,70,0,12
25000,71,0,14
25000,67,0,11
25000,66,0,16
25000,71,0,12
25000,70,0,12
25000,70,0,12
25000,73,0,10
25000,70,0,14
25000,69,0,17
25000,67,0,16
25000,67,0,16
25000,70,0,12
25000,70,0,10
25000,72,0,12
25000,67,0,14
25000,70,0,12
25000,70,0,9
25000,74,0,12
25000,70,0,14
25000,68,0,16
25000,65,0,16
25000,62,0,14
25000,71,0,17
25000,74,0,14
26000,64,0,16
26000,67,0,14
26000,69,0,18
26000,69,0,12
26000,74,0,18
26000,73,0,16
26000,72,0,12
26000,72,0,16
27000,72,0,12
27000,68,0,17
27000,68,0,12
27000,63,0,12
27000,75,0,12
27000,73,0,12
27000,76,0,12
27000,74,0,12
27000,70,0,12
27000,73,0,12
27000,71,0,16
27000,71,0,14
28000,77,0,14
28000,71,0,13
28000,75,0,9
28000,72,0,15
28000,70,0,18
28000,66,0,15
28000,67,0,12
28000,75,0,16
28000,64,0,14
28000,72,0,16
28000,75,0,18
28000,66,0,12
28000,71,0,17
29000,68,0,9
29000,69,0,14
29000,74,0,12
29000,68,0,16
30000,68,0,11
30000,68,0,12
30000,70,0,12
30000,74,0,12
30000,70,0,14
30000,67,0,12
30000,70,0,12
30000,72,0,14
30000,70,0,18
30000,69,0,11
30000,73,0,12
30000,67,0,16
30000,72,0,12
30000,73,0,12
30000,74,0,12
30000,71,0,16
30000,74,0,12
30000,66,0,12
30000,72,0,12
30000,71,0,12
30000,75,0,16
30000,73,0,14
30000,70,0,11
30000,71,0,18
30000,68,0,18
30000,73,0,18
30000,71,0,12
30000,69,0,14
30000,70,0,16
30000,69,0,12
30000,71,0,16
30000,68,0,11
30000,70,0,17
31000,72,0,12
31000,70,0,12
31500,65,0,14
32000,73,0,17
32000,77,0,16
32000,67,0,14
32000,68,0,12
32000,72,0,12
32000,72,0,14
32000,70,0,15
32000,66,0,16
32750,66,0,12
33000,69,0,14
33000,66,0,12
33000,72,0,12
33000,72,0,12
33000,66,0,16
33000,74,0,17
33000,68,0,12
34000,72,0,12
34000,69,0,12
34000,74,0,14
35000,71,0,12
35000,72,0,14
35000,73,0,18
35000,67,0,16
35000,74,0,18
35000,69,0,16
35000,71,0,12
35000,67,0,14
35000,70,0,16
35000,69,0,13
35000,74,0,17
35000,69,0,15
35000,73,0,12
35000,68,0,14
35000,72,0,15
35000,69,0,14
35000,74,0,13
35000,70,0,9
35000,73,0,12
35000,74,0,14
35000,66,0,14
35000,68,0,12
35000,69,0,14
35000,68,0,16
35900,74,0,16
36000,69,0,16
36000,73,0,16
36000,73,0,12
36000,68,0,12
36000,70,0,16
37000,68,0,11
37000,74,0,16
38000,73,0,16
38000,68,0,9
38000,70,0,16
38000,67,0,12
38000,67,0,17
38000,69,0,11
40000,68,0,18
40000,76,0,16
40000,71,0,14
40000,72,0,15
40000,72,0,16
40000,68,0,17
40000,66,0,14
40000,73,0,12
40000,70,0,14
40000,70,0,12
40000,70,0,14
40000,67,0,16
40000,72,0,14
40000,69,0,12
40000,70,0,16
40000,72,0,12
40000,66,0,12
40000,74,0,16
40000,72,0,16
40000,69,0,11
40000,75,0,12
40000,74,0,16
40000,66,0,12
40000,71,0,12
40000,68,0,18
40000,72,0,16
41000,77,0,16
41000,72,0,13
42000,68,0,12
42000,69,0,18
42000,70,0,14
42000,74,0,17
43000,68,0,13
43000,71,0,12
43000,69,0,12
43000,75,0,17
44000,70,0,13
44000,68,0,16
44000,72,0,16
44000,69,0,12
45000,71,0,17
45000,69,0,11
45000,66,0,13
45000,68,0,12
45000,71,0,12
45000,68,0,12
45000,67,0,18
45000,73,0,16
47000,70,0,18
49000,70,0,13
50000,74,0,16
50000,72,0,16
50000,71,0,16
50000,72,0,14
50000,72,0,12
50000,69,0,8
50000,72,0,16
50000,68,0,17
50000,67,0,16
50000,70,0,12
50000,71,0,14
50000,66,0,12
50000,69,0,11
50000,73,0,15
50000,72,0,13
50000,71,0,12
52000,60,0,15
53000,73,0,13
55000,72,0,18
55000,75,0,18
55000,69,0,18
57000,73,0,14
58000,70,0,18
60000,74,0,13
60000,67,0,14
60000,70,0,18
60000,73,0,16
60000,77,0,17
60000,68,0,12
60000,71,0,18
60000,69,0,14
60000,74,0,13
60000,74,0,14
60000,72,0,12
60000,72,0,12
62000,70,0,18
62000,70,0,14
65000,68,0,16
65000,65,0,12
65000,68,0,17
65000,67,0,14
69000,70,0,12
70000,70,0,14
70000,72,0,14
70000,69,0,18
70000,72,0,15
70000,72,0,18
75000,72,0,17
80000,69,0,14
80000,70,0,17
80000,72,0,14
85000,70,0,15
89000,77,0,16
90000,72,0,12
90000,72,0,16
95000,66,0,18
1.00E+05,70,0,18
1.00E+05,70,0,18
1.00E+05,73,0,18
1.00E+05,72,0,13
1.00E+05,72,0,17
105000,75,0,12
110000,66,0,18
125000,74,0,18
148000,67,0,18
170000,71,0,18
175000,71,0,16
2.00E+05,70,0,18
200,60,1,16
200,67,1,12
265,66,1,15
400,63,1,12
600,70,1,12
600,59,1,9
600,64,1,12
700,68,1,16
700,60,1,12
1000,66,1,15
1000,65,1,12
1000,66,1,17
1000,64,1,14
1000,63,1,16
1000,58,1,12
1000,65,1,12
1000,64,1,14
1000,60,1,12
1200,66,1,12
1200,65,1,14
1200,66,1,4
1200,62,1,5
1400,62,1,3
1500,67,1,12
1500,66,1,12
1500,66,1,12
1800,68,1,12
2000,65,1,12
2000,65,1,12
2000,63,1,12
2000,67,1,12
2000,66,1,16
2000,64,1,9
2000,68,1,12
2000,65,1,14
2000,62,1,13
2000,60,1,6
2100,62,1,12
2400,67,1,8
2400,62,1,16
2500,66,1,15
2500,62,1,11
3000,67,1,15
3000,63,1,12
3000,66,1,12
3000,62,1,16
3000,71,1,14
3000,67,1,12
3000,65,1,16
3000,66,1,16
3000,65,1,16
3000,68,1,12
3000,66,1,14
3000,66,1,12
3500,64,1,12
3500,66,1,12
3500,66,1,12
3600,65,1,15
3840,67,1,9
4000,64,1,9
4000,70,1,14
4000,65,1,12
4000,62,1,12
4000,69,1,13
4000,63,1,15
4000,63,1,13
4000,62,1,12
4000,60,1,8
4000,70,1,12
4000,66,1,8
4000,66,1,16
4000,65,1,13
4000,65,1,12
4000,61,1,12
4000,65,1,12
4000,64,1,16
4416,62,1,6
4500,64,1,16
4500,58,1,5
4700,66,1,12
5000,62,1,13
5000,63,1,13
5000,64,1,12
5000,63,1,12
5000,61,1,13
5000,62,1,12
5000,64,1,12
5000,65,1,16
5000,62,1,11
5000,64,1,15
5000,62,1,12
5000,62,1,12
5000,66,1,12
5000,66,1,12
5000,67,1,14
5000,69,1,14
5000,65,1,15
5000,67,1,13
5000,63,1,10
5000,62,1,14
5300,66,1,13
5400,62,1,12
5688,62,1,8
5800,65,1,12
6000,60,1,12
6000,62,1,12
6000,68,1,18
6000,63,1,12
6000,65,1,12
6000,66,1,16
6000,64,1,12
6000,62,1,13
6000,63,1,12
6000,66,1,13
6000,60,1,5
6000,64,1,12
6000,60,1,13
6000,60,1,12
6000,63,1,13
6000,63,1,14
6000,65,1,13
6000,63,1,12
6000,66,1,15
6000,62,1,10
6000,65,1,9
6000,62,1,12
6000,63,1,12
6108,62,1,12
6200,64,1,13
6500,64,1,15
6500,60,1,8
6600,60,1,14
7000,64,1,12
7000,61,1,12
7000,64,1,12
7000,62,1,12
7000,64,1,11
7000,63,1,9
7000,65,1,16
7000,70,1,14
7000,64,1,16
7000,66,1,13
7000,64,1,10
7500,61,1,14
7600,67,1,6
8000,70,1,13
8000,66,1,12
8000,65,1,12
8000,64,1,12
8000,64,1,10
8000,71,1,12
8000,66,1,12
8000,61,1,11
8000,63,1,14
8000,63,1,12
8000,68,1,13
8000,66,1,14
8000,64,1,12
8000,62,1,11
8000,65,1,12
8000,63,1,9
8000,64,1,13
8000,69,1,13
8000,62,1,12
8000,64,1,15
8000,64,1,12
8500,67,1,12
9000,64,1,15
9000,62,1,12
9000,69,1,11
9000,66,1,8
9000,68,1,14
9000,64,1,13
9000,70,1,12
9500,67,1,12
9500,62,1,12
10000,63,1,12
10000,68,1,17
10000,66,1,12
10000,62,1,12
10000,66,1,15
10000,62,1,12
10000,61,1,12
10000,61,1,17
10000,62,1,16
10000,68,1,18
10000,60,1,12
10000,62,1,12
10000,65,1,14
10000,63,1,12
10000,65,1,14
10000,61,1,15
10000,64,1,13
10000,64,1,15
10000,65,1,12
10000,67,1,14
10000,62,1,12
10000,64,1,14
10000,68,1,9
10000,64,1,12
10000,65,1,12
10000,71,1,14
10000,62,1,11
10000,66,1,13
10000,61,1,12
10000,69,1,16
10000,69,1,12
10000,66,1,10
10000,62,1,12
10000,63,1,12
10000,68,1,16
10000,64,1,12
10000,66,1,12
10000,63,1,14
10000,66,1,12
10000,63,1,12
10000,66,1,12
10000,62,1,12
10000,63,1,12
10000,60,1,12
10000,63,1,13
10000,64,1,14
10000,74,1,14
10000,66,1,13
10000,69,1,14
10000,66,1,12
10000,65,1,12
10000,70,1,16
11000,60,1,12
11000,66,1,14
11000,68,1,12
11000,64,1,12
11000,66,1,12
11000,65,1,13
11000,69,1,12
11000,68,1,10
11000,63,1,15
11000,66,1,10
11000,63,1,12
11000,63,1,9
12000,65,1,12
12000,64,1,12
12000,66,1,13
12000,66,1,13
12000,69,1,12
12000,64,1,12
12000,66,1,14
12000,72,1,12
12000,67,1,12
12000,64,1,15
12000,65,1,12
12000,68,1,16
12000,64,1,8
12000,68,1,12
12000,69,1,12
12000,64,1,12
12000,64,1,16
12000,63,1,12
12000,68,1,14
12000,60,1,12
12000,67,1,12
12000,66,1,13
12000,60,1,12
12000,65,1,12
12000,63,1,12
12000,64,1,14
12000,64,1,14
12000,67,1,12
12000,68,1,12
12000,64,1,12
12000,63,1,14
12000,64,1,13
12000,63,1,16
12500,65,1,12
12500,63,1,12
12500,65,1,12
13000,66,1,12
13000,62,1,12
13000,67,1,12
13000,63,1,12
13000,61,1,12
13000,64,1,8
13000,64,1,12
13000,68,1,14
13000,65,1,10
13000,63,1,12
13000,66,1,16
14000,63,1,14
14000,68,1,14
14000,63,1,12
14000,64,1,11
14000,65,1,12
14000,60,1,14
14000,62,1,12
14000,64,1,8
14000,63,1,12
14000,63,1,13
14000,64,1,14
14000,63,1,12
14000,68,1,12
14500,64,1,12
15000,64,1,14
15000,67,1,14
15000,63,1,12
15000,68,1,12
15000,60,1,14
15000,66,1,17
15000,66,1,12
15000,64,1,14
15000,61,1,12
15000,67,1,12
15000,68,1,12
15000,64,1,16
15000,67,1,12
15000,63,1,16
15000,66,1,12
15000,69,1,12
15000,64,1,16
15000,64,1,12
15000,66,1,12
15000,68,1,12
15000,64,1,16
15000,63,1,13
15000,61,1,16
15000,64,1,11
15000,59,1,8
15000,64,1,12
15000,64,1,12
15000,67,1,12
15000,65,1,12
15000,65,1,12
15000,67,1,12
15000,63,1,12
15000,66,1,16
15000,66,1,16
15000,67,1,12
15000,60,1,14
15000,61,1,13
15000,63,1,14
15000,66,1,12
15000,64,1,13
15000,64,1,16
15000,64,1,14
15000,64,1,12
15000,59,1,14
15000,60,1,13
15000,67,1,15
15000,65,1,14
15000,75,1,13
15000,68,1,11
15000,64,1,13
15000,60,1,12
15000,61,1,18
16000,63,1,14
16000,61,1,15
16000,65,1,12
16000,63,1,15
16000,67,1,12
16000,68,1,18
16000,63,1,12
16000,64,1,16
16000,65,1,14
16000,65,1,14
16000,63,1,12
16000,64,1,14
16000,67,1,12
16000,68,1,13
16040,64,1,12
16400,64,1,12
16500,64,1,14
16500,62,1,12
16500,66,1,14
16500,62,1,13
17000,65,1,14
17000,66,1,14
17000,63,1,12
17000,66,1,16
17000,61,1,12
17000,65,1,16
17000,69,1,13
17000,59,1,15
17000,63,1,17
17000,64,1,12
17000,69,1,13
17000,67,1,14
17000,64,1,12
17000,63,1,12
17000,65,1,12
17000,68,1,12
17000,70,1,15
17500,66,1,17
17600,64,1,16
18000,68,1,12
18000,68,1,12
18000,62,1,13
18000,65,1,12
18000,62,1,13
18000,62,1,11
18000,64,1,15
18000,64,1,16
18000,64,1,12
18000,64,1,15
18000,68,1,16
18000,61,1,14
18000,67,1,16
18000,65,1,13
18000,63,1,12
18000,71,1,10
18600,65,1,16
18700,65,1,13
18720,63,1,10
19000,61,1,12
19000,63,1,13
19000,64,1,14
19000,63,1,15
19000,64,1,12
19000,65,1,13
19000,68,1,13
19005,65,1,16
20000,62,1,12
20000,70,1,10
20000,68,1,12
20000,64,1,15
20000,65,1,14
20000,65,1,12
20000,63,1,12
20000,62,1,16
20000,65,1,14
20000,64,1,13
20000,67,1,18
20000,62,1,17
20000,64,1,12
20000,64,1,17
20000,68,1,14
20000,59,1,13
20000,64,1,15
20000,62,1,10
20000,60,1,14
20000,66,1,16
20000,65,1,12
20000,64,1,13
20000,62,1,14
20000,66,1,17
20000,68,1,12
20000,63,1,16
20000,60,1,16
20000,64,1,12
20000,60,1,8
20000,60,1,12
20000,61,1,14
20000,63,1,15
20000,62,1,12
20000,66,1,14
20000,62,1,17
20112,64,1,12
21000,65,1,12
21000,64,1,17
21000,68,1,12
21000,68,1,13
21000,63,1,14
21000,67,1,12
21000,64,1,12
21000,68,1,17
21000,66,1,17
21000,67,1,16
21000,62,1,12
21000,64,1,13
22000,66,1,16
22000,73,1,14
22000,62,1,18
22000,64,1,12
22000,63,1,16
22000,60,1,12
22000,64,1,14
22000,63,1,14
22000,66,1,12
22000,66,1,12
22000,71,1,17
22000,63,1,18
22000,62,1,12
22000,65,1,18
23000,70,1,17
23000,64,1,12
23000,67,1,12
23000,64,1,13
23000,63,1,13
23000,62,1,12
23000,66,1,15
23000,66,1,18
23000,65,1,14
23500,68,1,13
23900,64,1,12
24000,65,1,12
24000,64,1,16
24000,67,1,18
24000,68,1,12
24000,62,1,14
24000,68,1,16
24000,64,1,13
24000,65,1,12
24000,68,1,12
24000,64,1,16
24000,66,1,14
24000,68,1,13
24000,60,1,13
24000,63,1,14
24000,65,1,14
24000,65,1,16
24000,62,1,17
24000,66,1,18
24000,65,1,11
24000,65,1,12
25000,64,1,12
25000,65,1,12
25000,67,1,18
25000,66,1,12
25000,62,1,12
25000,62,1,13
25000,63,1,14
25000,66,1,17
25000,63,1,16
25000,70,1,12
25000,65,1,12
25000,62,1,15
25000,67,1,16
25000,65,1,16
25000,65,1,17
25000,64,1,14
25000,66,1,14
25000,65,1,18
25000,69,1,12
25000,63,1,18
25000,65,1,13
25000,63,1,12
25000,61,1,12
25000,59,1,15
25000,68,1,17
25000,64,1,14
25000,68,1,13
25000,69,1,14
25000,68,1,12
25000,61,1,12
25000,63,1,10
25000,64,1,12
25000,64,1,16
26000,66,1,16
26000,62,1,12
26000,63,1,13
26000,64,1,18
26000,69,1,17
26000,70,1,13
26000,65,1,16
26000,60,1,18
26000,66,1,14
26000,64,1,15
26000,67,1,17
26000,61,1,14
27000,64,1,16
27000,64,1,14
27000,61,1,18
27000,62,1,12
27000,65,1,16
27000,62,1,17
27000,64,1,17
27000,67,1,17
27000,68,1,14
27500,67,1,12
27500,67,1,12
28000,64,1,16
28000,64,1,17
28000,66,1,15
28000,64,1,16
28000,63,1,18
28000,63,1,18
28000,63,1,16
28000,64,1,14
28000,64,1,18
29000,62,1,12
30000,64,1,16
30000,67,1,14
30000,63,1,12
30000,64,1,14
30000,64,1,12
30000,62,1,13
30000,65,1,13
30000,63,1,18
30000,62,1,13
30000,65,1,12
30000,67,1,16
30000,65,1,17
30000,65,1,13
30000,65,1,18
30000,68,1,16
30000,65,1,18
30000,67,1,16
30000,63,1,16
30000,64,1,17
30000,64,1,14
30000,66,1,16
31000,60,1,12
31000,68,1,16
31000,62,1,14
32000,67,1,18
32000,62,1,14
32000,66,1,18
32000,65,1,14
32000,69,1,14
32000,65,1,16
32000,61,1,12
32000,63,1,16
32000,69,1,17
33000,67,1,13
33000,63,1,17
33000,67,1,12
33000,66,1,12
33000,65,1,16
34000,68,1,17
35000,65,1,15
35000,62,1,15
35000,64,1,18
35000,64,1,12
35000,64,1,14
35000,67,1,13
35000,66,1,16
35000,66,1,15
35000,65,1,15
35000,68,1,16
35000,69,1,14
35000,64,1,12
35000,59,1,11
35000,64,1,12
35000,65,1,16
36000,65,1,15
36000,61,1,12
36000,70,1,16
36000,63,1,16
36000,64,1,17
38000,68,1,17
38000,67,1,17
40000,68,1,14
40000,66,1,12
40000,64,1,14
40000,66,1,16
40000,64,1,13
40000,58,1,12
40000,62,1,16
40000,60,1,18
40000,66,1,16
41000,67,1,13
42000,64,1,18
42000,63,1,12
43000,63,1,12
43000,70,1,18
44000,63,1,12
45000,67,1,16
45000,66,1,16
45000,66,1,18
45000,67,1,16
48000,63,1,18
48000,66,1,13
50000,63,1,16
50000,66,1,16
50000,65,1,18
50000,62,1,15
50000,68,1,17
51000,63,1,17
52000,66,1,18
53000,63,1,17
53000,71,1,14
55000,64,1,12
55000,67,1,18
57000,64,1,18
58000,64,1,16
60000,66,1,16
60000,69,1,18
60000,64,1,16
60000,63,1,10
60000,66,1,16
60000,64,1,12
70000,62,1,16
70000,67,1,10
75000,64,1,15
80000,61,1,14
90000,66,1,14
96000,63,1,14
110000,66,1,18
123000,61,1,14
