team,established,stadium,location,lat,lon,capacity,playingSurface ,yearOpened ,roof
Los Angeles Kings,1967,Staples Center,"Los Angeles, California",34.042435,-118.266586,18118,,1999,
Los Angeles Lakers,1960,Staples Center,"Los Angeles, California",34.042435,-118.266586,18997,,1999,
Memphis Grizzlies,2001,FedExForum,"Memphis, Tennessee",35.149534,-90.04898,18119,,2004,
Miami Dolphins,1966,Sun Life Stadium,"Miami Gardens, Florida",25.957967,-80.23886,75540,Prescription Athletic Turf (Natural Grass) ,1987,Open 
Miami Heat,1988,American Airlines Arena,"Miami, Florida",25.789097,-80.204044,19600,,2000,
Miami Marlins,1993,Marlins Park,"Miami, Florida",25.778665,-80.22028,36742,Grass ,2012,Retractable 
Milwaukee Brewers,1970,Miller Park,"Milwaukee, Wisconsin",43.027978,-87.97115,41900,Grass ,2001,Retractable 
Milwaukee Bucks,1968,BMO Harris Bradley Center,"Milwaukee, Wisconsin",43.043728,-87.917166,18717,,1988,
Minnesota Timberwolves,1989,Target Center,"Minneapolis, Minnesota",44.969364,-93.326981,19356,,1990,
Minnesota Twins,1961,Target Field,"Minneapolis, Minnesota",44.981708,-93.277338,39021,Grass ,2010,Open 
Minnesota Vikings,1961,TCF Bank Stadium,"Minneapolis, Minnesota",44.976714,-93.224331,50805,FieldTurf ,2009,Open 
Minnesota Wild,2000,Xcel Energy Center,"Saint Paul, Minnesota",44.945089,-93.101092,17954,,2000,
Montreal Canadiens,1909,Bell Centre,"Montreal, Quebec",45.496067,-73.569315,21273,,1996,
Nashville Predators,1998,Bridgestone Arena,"Nashville, Tennessee",36.159443,-86.778528,17113,,1996,
New England Patriots,1960,Gillette Stadium,"Foxborough, Massachusetts",42.090946,-71.264346,68756,FieldTurf ,2002,Open 
New Jersey Devils,1982,Prudential Center,"Newark, New Jersey",40.73344,-74.171128,17625,,2007,Open 
New Orleans Pelicans,2002,Smoothie King Center,"New Orleans, Louisiana",29.949319,-90.081971,17003,,1999,
New Orleans Saints,1967,Mercedes-Benz Superdome,"New Orleans, Louisiana",29.952521,-90.080671,73208,UBU-Intensity Series- S5-M Synthetic Turf ,1975,Domed 
New York Giants,1925,MetLife Stadium,"East Rutherford, New Jersey",40.81284,-74.074209,82566,UBU-Intensity Series- S5-M Synthetic Turf ,2010,Open 
New York Islanders,1972,Nassau Veterans Memorial Coliseum,"Uniondale, New York",40.722938,-73.590681,16170,,1972,
New York Jets,1960,MetLife Stadium,"East Rutherford, New Jersey",40.81284,-74.074209,82566,UBU-Intensity Series- S5-M Synthetic Turf ,2010,Open 
New York Knicks,1946,Madison Square Garden,"Manhattan, New York City, New York",40.752,-73.993,19763,,1968,
New York Mets,1962,Citi Field,"Queens, New York City, New York",40.757088,-73.845821,41922,Grass ,2009,Open 
New York Rangers,1926,Madison Square Garden,"Manhattan, New York City, New York",40.752,-73.993,18006,,1968,
New York Yankees,1903,Yankee Stadium,"The Bronx, New York City, New York",40.829332,-73.927907,49642,Grass ,2009,Open 
Oakland Athletics,1968,O.co Coliseum,"Oakland, California",37.751595,-122.200546,35067,Grass ,1966,Open 
Oakland Raiders,1995,O.co Coliseum,"Oakland, California",37.751595,-122.200546,53200,Grass ,1966,Open 
Oklahoma City Thunder,2008,Chesapeake Energy Arena,"Oklahoma City, Oklahoma",35.463666,-97.514899,18203,,2002,
Orlando Magic,1989,Amway Center,"Orlando, Florida",28.54,-81.384007,18846,,2010,
Ottawa Senators,1992,Canadian Tire Centre,"Ottawa, Ontario",45.29871,-75.926323,19153,,1996,
Philadelphia 76ers,1963,Wells Fargo Center,"Philadelphia, Pennsylvania",39.900666,-75.17142,20328,,1996,
Philadelphia Eagles,1933,Lincoln Financial Field,"Philadelphia, Pennsylvania",39.900732,-75.167535,68532,Desso GrassMaster ,2003,Open 
Philadelphia Flyers,1967,Wells Fargo Center,"Philadelphia, Pennsylvania",39.900666,-75.17142,19537,,1996,
Philadelphia Phillies,1883,Citizens Bank Park,"Philadelphia, Pennsylvania",39.906057,-75.166495,43651,Grass ,2004,Open 
Phoenix Suns,1968,US Airways Center,"Phoenix, Arizona",33.446204,-112.071211,18422,,1992,
Pittsburgh Penguins,1967,Consol Energy Center,"Pittsburgh, Pennsylvania",40.439183,-79.989657,18387,,2010,
Pittsburgh Pirates,1882,PNC Park,"Pittsburgh, Pennsylvania",40.446855,-80.005666,38362,Grass ,2001,Open 
Pittsburgh Steelers,1933,Heinz Field,"Pittsburgh, Pennsylvania",40.446765,-80.01576,65050,Grass ,2001,Open 
Portland Trail Blazers,1970,Moda Center,"Portland, Oregon",45.531565,-122.666842,19980,,1995,
Sacramento Kings,1985,Sleep Train Arena,"Sacramento, California",38.649062,-121.518061,17317,,1988,
San Antonio Spurs,1973,AT&T Center,"San Antonio, Texas",29.426933,-98.437445,18581,,2002,
San Diego Chargers,1961,Qualcomm Stadium,"San Diego, California",32.783994,-117.11997,70561,Grass ,1967,Open 
San Diego Padres,1969,Petco Park,"San Diego, California",32.707505,-117.15507,42302,Grass ,2004,Open 
San Francisco 49ers,1946,Levi's Stadium,"Santa Clara, California",37.403203,-121.96983,68983,Bermuda Grass / Ryegrass mixture ,2014,Open 
San Francisco Giants,1958,AT&T Park,"San Francisco, California",37.778595,-122.38927,41503,Grass ,2000,Open 
San Jose Sharks,1991,SAP Center at San Jose,"San Jose, California",37.333046,-121.901189,17562,,1993,
Seattle Mariners,1977,Safeco Field,"Seattle, Washington",47.591539,-122.332292,47476,Grass ,1999,Retractable 
Seattle Seahawks,1976,CenturyLink Field,"Seattle, Washington",47.595152,-122.331639,67000,FieldTurf ,2002,Open 
St. Louis Blues,1967,Scottrade Center,"St. Louis, Missouri",38.626786,-90.20267,19150,,1994,
St. Louis Cardinals,1882,Busch Stadium,"St. Louis, Missouri",38.622619,-90.192821,43975,Grass ,2006,Open 
St. Louis Rams,1995,Edward Jones Dome,"St. Louis, Missouri",38.632804,-90.188418,66000,AstroTurf GameDay Grass 3D ,1995,Domed 
Tampa Bay Buccaneers,1976,Raymond James Stadium,"Tampa, Florida",27.975959,-82.504133,65890,419 Tifway Bermuda Grass ,1998,Open 
Tampa Bay Lightning,1993,Tampa Bay Times Forum,"Tampa, Florida",27.942983,-82.451788,19204,,1996,
Tampa Bay Rays,1998,Tropicana Field,"St. Petersburg, Florida",27.768225,-82.653392,31042,AstroTurf GameDay Grass ,1990,Domed 
Tennessee Titans,1997,LP Field,"Nashville, Tennessee",36.166479,-86.77129,69143,419 Tifway Bermuda Grass ,1999,Open 
Texas Rangers,1972,Globe Life Park in Arlington,"Arlington, Texas",32.751145,-97.082458,48114,Grass ,1994,Open 
Toronto Blue Jays,1977,Rogers Centre,"Toronto, Ontario",43.641438,-79.389353,49282,AstroTurf GameDay Grass 3D ,1989,Retractable 
Toronto Maple Leafs,1917,Air Canada Centre,"Toronto, Ontario",43.644154,-79.378221,18819,,1999,
Toronto Raptors,1995,Air Canada Centre,"Toronto, Ontario",43.644154,-79.378221,19800,,1999,
Utah Jazz,1979,EnergySolutions Arena,"Salt Lake City, Utah",40.760779,-111.891047,19911,,1991,
Vancouver Canucks,1970,Rogers Arena,"Vancouver, British Columbia",49.278067,-123.108823,18910,,1995,
Washington Capitals,1974,Verizon Center,"Washington, D.C.",38.898041,-77.020911,18506,,1997,
Washington Nationals,2005,Nationals Park,"Washington, D.C.",38.87301,-77.007433,41418,Grass ,2008,Open 
Washington Redskins,1937,FedExField,"Landover, Maryland",38.907699,-76.866338,79000,Bermuda Grass (Latitude 36) ,1997,Open 
Washington Wizards,1973,Verizon Center,"Washington, D.C.",38.898041,-77.020911,20290,,1997,
Winnipeg Jets,2011,MTS Centre,"Winnipeg, Manitoba",49.893871,-97.14323,15004,,2004,
