prof,avgeval,btystdave,tenured,nonenglish,age,female,students,percentevaluating
33,3.7,0.4883314,1,0,39,0,316,48.73418
33,4.6,0.4883314,1,0,39,0,15,80
33,4.2,0.4883314,1,0,39,0,15,93.33334
33,4.4,0.4883314,1,0,39,0,29,93.10345
34,3.8,-0.1719505,0,0,47,1,8,100
34,4.1,-0.1719505,0,0,47,1,16,100
34,3.7,-0.1719505,0,0,47,1,26,92.30769
34,4.1,-0.1719505,0,0,47,1,10,70
34,3,-0.1719505,0,0,47,1,26,96.15385
34,3.2,-0.1719505,0,0,47,1,26,92.30769
34,2.8,-0.1719505,0,0,47,1,26,92.30769
34,4.7,-0.1719505,0,0,47,1,21,95.2381
34,4.2,-0.1719505,0,0,47,1,12,100
34,3.2,-0.1719505,0,0,47,1,27,92.59259
34,3.1,-0.1719505,0,0,47,1,27,96.2963
34,4,-0.1719505,0,0,47,1,25,96
35,4.2,-1.167907,1,0,54,0,15,66.66666
35,4.3,-1.167907,1,0,54,0,17,94.11765
36,3.3,0.9525534,1,0,44,1,48,72.91666
36,4.1,0.9525534,1,0,44,1,21,100
36,3.7,0.9525534,1,0,44,1,39,89.74359
37,3.3,-1.140457,1,0,47,0,14,64.28571
37,3.8,-1.140457,1,0,47,0,26,80.76923
37,3.4,-1.140457,1,0,47,0,16,81.25
37,4.2,-1.140457,1,0,47,0,16,81.25
37,3.8,-1.140457,1,0,47,0,13,92.30769
37,3.5,-1.140457,1,0,47,0,14,100
37,3.3,-1.140457,1,0,47,0,17,88.23529
38,4.3,-0.8161172,1,0,62,0,15,86.66666
38,4.1,-0.8161172,1,0,62,0,10,70
39,4.5,-0.4837456,1,0,60,0,16,75
39,4.5,-0.4837456,1,0,60,0,14,78.57143
39,4.6,-0.4837456,1,0,60,0,12,66.66666
39,4.4,-0.4837456,1,0,60,0,39,61.53846
39,4.1,-0.4837456,1,0,60,0,35,42.85714
39,4.5,-0.4837456,1,0,60,0,45,68.88889
39,4.3,-0.4837456,1,0,60,0,45,80
41,4.4,-0.3261277,0,0,42,0,14,100
41,4.9,-0.3261277,0,0,42,0,14,92.85714
41,4.7,-0.3261277,0,0,42,0,12,100
41,4.6,-0.3261277,0,0,42,0,15,86.66666
42,4.8,0.1865589,1,0,35,0,23,91.30434
42,4.2,0.1865589,1,0,35,0,57,85.96491
42,4.6,0.1865589,1,0,35,0,50,88
43,4.7,1.881674,0,0,39,1,23,78.26087
43,4.6,1.881674,0,0,39,1,23,86.95652
43,3.6,1.881674,0,0,39,1,28,96.42857
44,3.9,0.9626006,1,0,49,0,42,64.28571
44,4,0.9626006,1,0,49,0,57,85.96491
45,4.4,0.1534694,1,0,61,0,38,81.57895
45,4.5,0.1534694,1,0,61,0,22,86.36364
45,4.4,0.1534694,1,0,61,0,43,62.7907
46,3,1.261046,0,0,33,0,13,92.30769
46,3.7,1.261046,0,0,33,0,15,86.66666
48,3.6,-0.3460746,1,0,56,1,20,80
48,3.1,-0.3460746,1,0,56,1,23,73.91304
49,3.8,-0.744618,0,0,50,1,32,75
49,4.7,-0.744618,0,0,50,1,21,66.66666
49,3.8,-0.744618,0,0,50,1,24,95.83334
49,3.8,-0.744618,0,0,50,1,21,90.47619
49,2.8,-0.744618,0,0,50,1,28,64.28571
49,4,-0.744618,0,0,50,1,29,79.31035
50,4,-0.7447439,1,0,52,0,89,91.01124
50,3.5,-0.7447439,1,0,52,0,82,90.2439
50,3.4,-0.7447439,1,0,52,0,122,83.60656
50,4,-0.7447439,1,0,52,0,131,71.75572
50,3.5,-0.7447439,1,0,52,0,114,78.07018
50,3.8,-0.7447439,1,0,52,0,149,89.26174
50,4.7,-0.7447439,1,0,52,0,23,95.65218
50,3.9,-0.7447439,1,0,52,0,98,79.59184
50,4.5,-0.7447439,1,0,52,0,27,81.48148
50,4.2,-0.7447439,1,0,52,0,30,90
50,4.7,-0.7447439,1,0,52,0,30,90
50,4,-0.7447439,1,0,52,0,69,86.95652
51,4.8,0.6361284,0,0,33,1,10,100
51,4.8,0.6361284,0,0,33,1,11,90.90909
51,4.4,0.6361284,0,0,33,1,14,71.42857
51,4.7,0.6361284,0,0,33,1,11,63.63636
51,4.5,0.6361284,0,0,33,1,14,100
52,4.2,0.5434852,1,0,57,0,41,87.80488
52,4.4,0.5434852,1,0,57,0,88,81.81818
52,4.1,0.5434852,1,0,57,0,78,80.76923
53,4.2,0.9825948,1,0,38,1,157,69.42675
53,4.8,0.9825948,1,0,38,1,68,79.41177
53,4.4,0.9825948,1,0,38,1,67,76.1194
53,4.7,0.9825948,1,0,38,1,80,76.25
53,4.2,0.9825948,1,0,38,1,137,74.45255
53,4.5,0.9825948,1,0,38,1,69,84.05797
54,3.4,-1.538843,0,0,34,1,80,57.5
54,3.7,-1.538843,0,0,34,1,90,58.88889
54,3.6,-1.538843,0,0,34,1,34,55.88235
54,3.9,-1.538843,0,0,34,1,73,56.16438
54,3.9,-1.538843,0,0,34,1,44,56.81818
55,3.7,1.067531,0,0,34,0,20,80
55,3,1.067531,0,0,34,0,35,57.14286
56,3.6,-0.4143639,0,0,32,0,168,41.07143
56,3.6,-0.4143639,0,0,32,0,247,39.67611
56,4.3,-0.4143639,0,0,32,0,22,90.90909
56,4.5,-0.4143639,0,0,32,0,103,69.90292
57,3.9,0.7962944,1,0,42,1,82,62.19512
58,4.6,-0.6466943,1,0,43,1,35,51.42857
58,4.1,-0.6466943,1,0,43,1,34,76.47059
58,4.2,-0.6466943,1,0,43,1,37,75.67567
58,4.1,-0.6466943,1,0,43,1,14,92.85714
58,3.1,-0.6466943,1,0,43,1,266,65.41354
58,3.6,-0.6466943,1,0,43,1,254,67.32284
58,4.2,-0.6466943,1,0,43,1,13,76.92308
58,3,-0.6466943,1,0,43,1,282,58.86525
58,4.2,-0.6466943,1,0,43,1,17,100
59,3.4,-0.4299034,0,1,35,0,42,52.38095
60,3.1,-0.5924066,1,0,62,1,16,56.25
60,2.7,-0.5924066,1,0,62,1,19,73.68421
63,3.9,0.6851749,1,0,52,1,98,71.42857
64,3.9,0.9755885,1,0,52,1,65,75.38461
64,3.6,0.9755885,1,0,52,1,63,50.79365
65,3.7,-1.178738,0,0,52,1,43,81.39535
65,3.6,-1.178738,0,0,52,1,80,73.75
65,4.4,-1.178738,0,0,52,1,52,86.53846
65,4.3,-1.178738,0,0,52,1,48,70.83334
65,4.1,-1.178738,0,0,52,1,66,75.75758
65,3.7,-1.178738,0,0,52,1,100,67
66,3.6,-1.157511,1,0,64,0,16,50
66,2.8,-1.157511,1,0,64,0,22,81.81818
66,4,-1.157511,1,0,64,0,11,45.45454
66,4.4,-1.157511,1,0,64,0,10,50
66,3.6,-1.157511,1,0,64,0,16,100
67,3.7,1.327346,1,0,50,0,10,90
68,2.9,-1.511268,1,0,60,0,10,70
68,2.6,-1.511268,1,0,60,0,16,62.5
70,4.8,-0.5783117,0,0,43,0,28,53.57143
70,4.9,-0.5783117,0,0,43,0,30,60
70,4.3,-0.5783117,0,0,43,0,15,73.33334
70,4.4,-0.5783117,0,0,43,0,13,76.92308
70,4.3,-0.5783117,0,0,43,0,18,94.44444
70,4.7,-0.5783117,0,0,43,0,26,84.61539
70,4.3,-0.5783117,0,0,43,0,30,60
70,4.6,-0.5783117,0,0,43,0,14,100
71,4.9,-0.671936,0,0,50,0,22,90.90909
71,4.8,-0.671936,0,0,50,0,25,84
71,4.7,-0.671936,0,0,50,0,26,88.46154
71,4.8,-0.671936,0,0,50,0,22,86.36364
71,4.9,-0.671936,0,0,50,0,26,76.92308
71,4.8,-0.671936,0,0,50,0,20,85
71,4.8,-0.671936,0,0,50,0,22,81.81818
71,5,-0.671936,0,0,50,0,21,95.2381
71,4.5,-0.671936,0,0,50,0,21,90.47619
72,3.8,0.6683338,1,0,52,0,65,70.76923
72,3.8,0.6683338,1,0,52,0,62,62.90322
72,3.8,0.6683338,1,0,52,0,67,50.74627
72,4,0.6683338,1,0,52,0,40,72.5
72,4.2,0.6683338,1,0,52,0,45,60
73,4.5,0.7924695,1,0,51,0,579,64.2487
73,4.5,0.7924695,1,0,51,0,537,63.87337
73,4.6,0.7924695,1,0,51,0,581,65.40447
73,4.7,0.7924695,1,0,51,0,527,61.10057
74,4.1,-0.6548505,1,0,38,0,84,78.57143
74,3.6,-0.6548505,1,0,38,0,79,50.63291
74,4,-0.6548505,1,0,38,0,92,65.21739
75,3.4,0.2510546,1,0,47,1,67,56.71642
76,2.8,-0.2397178,1,0,43,1,190,48.94737
77,4.1,-1.113346,0,0,38,1,60,60
77,3.5,-1.113346,0,0,38,1,64,45.3125
77,3.4,-1.113346,0,0,38,1,31,74.19355
77,4.1,-1.113346,0,0,38,1,62,58.06452
77,4.2,-1.113346,0,0,38,1,37,81.08108
78,4.3,-0.1135935,1,0,43,0,13,61.53846
78,4.1,-0.1135935,1,0,43,0,15,80
78,3.4,-0.1135935,1,0,43,0,79,82.27848
79,3.5,-0.8351366,1,0,57,0,98,54.08163
79,3.6,-0.8351366,1,0,57,0,97,59.79382
80,3.7,0.9005994,1,0,51,1,78,85.89744
80,3,0.9005994,1,0,51,1,56,64.28571
80,4.6,0.9005994,1,0,51,1,20,85
81,4,-0.620769,0,0,45,0,20,85
81,4.8,-0.620769,0,0,45,0,19,68.42105
81,4.6,-0.620769,0,0,45,0,26,73.07692
82,3.4,-0.8552412,1,0,57,0,18,66.66666
82,4.4,-0.8552412,1,0,57,0,12,100
82,3.6,-0.8552412,1,0,57,0,19,84.21053
82,3.8,-0.8552412,1,0,57,0,16,75
82,3.7,-0.8552412,1,0,57,0,16,87.5
82,4.7,-0.8552412,1,0,57,0,12,91.66666
82,4.5,-0.8552412,1,0,57,0,17,88.23529
82,5,-0.8552412,1,0,57,0,15,40
82,3.8,-0.8552412,1,0,57,0,16,93.75
82,4.1,-0.8552412,1,0,57,0,17,70.58823
83,4.3,1.065906,0,0,47,1,17,88.23529
83,4.4,1.065906,0,0,47,1,10,100
83,4.7,1.065906,0,0,47,1,17,94.11765
83,3.9,1.065906,0,0,47,1,17,88.23529
84,4.8,1.144253,1,0,54,1,16,93.75
84,4.3,1.144253,1,0,54,1,26,80.76923
84,4.6,1.144253,1,0,54,1,18,77.77778
84,3.8,1.144253,1,0,54,1,20,80
85,5,1.685985,0,0,58,0,21,100
85,4.9,1.685985,0,0,58,0,21,85.71429
85,4.6,1.685985,0,0,58,0,20,85
85,4.6,1.685985,0,0,58,0,20,95
85,5,1.685985,0,0,58,0,13,84.61539
85,4.6,1.685985,0,0,58,0,16,87.5
85,4.9,1.685985,0,0,58,0,17,94.11765
86,4,1.684802,1,0,42,0,24,91.66666
86,3.9,1.684802,1,0,42,0,20,85
87,4.1,0.6362435,0,0,33,0,155,43.22581
88,2.9,-1.269975,1,0,62,0,70,40
88,2.8,-1.269975,1,0,62,0,149,40.9396
88,2.8,-1.269975,1,0,62,0,137,35.76642
88,4,-1.269975,1,0,62,0,29,44.82759
88,3.3,-1.269975,1,0,62,0,55,50.90909
88,3,-1.269975,1,0,62,0,136,49.26471
89,3.6,1.681103,0,0,35,1,60,33.33333
89,3.8,1.681103,0,0,35,1,108,39.81482
90,3.9,-0.6756103,1,0,61,0,15,86.66666
91,4.7,-0.0901815,1,0,52,1,17,82.35294
91,4.7,-0.0901815,1,0,52,1,19,100
92,3.9,-0.1450257,0,1,60,1,19,94.73684
92,4.4,-0.1450257,0,1,60,1,13,84.61539
92,3.6,-0.1450257,0,1,60,1,19,94.73684
92,4.2,-0.1450257,0,1,60,1,22,50
92,3.4,-0.1450257,0,1,60,1,20,35
92,4,-0.1450257,0,1,60,1,27,88.88889
93,4.2,1.143045,0,0,32,0,127,87.40157
93,4.4,1.143045,0,0,32,0,85,72.94118
93,4.5,1.143045,0,0,32,0,101,75.24753
93,3.2,1.143045,0,0,32,0,21,42.85714
93,4.3,1.143045,0,0,32,0,86,60.46511
94,3.3,0.3320507,0,1,42,1,67,77.61194
94,3.2,0.3320507,0,1,42,1,66,81.81818
94,4.1,0.3320507,0,1,42,1,35,80
